rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
5573.0;177500.0;392500.0;1;1.0;50.0;271.0;232.0;346.0;3044.0;346.0;1799.0;1522.0;5911.0;11165.0;3201.0;17022.0;10112.0;16283.0;163.0;0.0;4811.0;51.0;18.0;0.0;1.0
5576.0;180500.0;392500.0;2;1.0;219.0;443.0;438.0;1195.0;3946.0;2336.0;3713.0;2722.0;6542.0;13073.0;3695.0;19021.0;8472.0;16396.0;460.0;3.0;6237.0;51.0;2.0;0.0;6.0
5579.0;183500.0;392500.0;2;1.0;71.0;129.0;336.0;550.0;4661.0;1873.0;4697.0;3565.0;7051.0;13922.0;4224.0;20021.0;7716.0;16543.0;178.0;3.0;7047.0;51.0;18.0;0.0;1.0
5596.0;200500.0;392500.0;1;0.0;1313.0;178.0;3462.0;1556.0;6240.0;2998.0;1893.0;2120.0;11545.0;8425.0;7329.0;26019.0;4053.0;18569.0;562.0;4.0;7491.0;51.0;1.0;0.0;6.0
5604.0;208500.0;392500.0;1;0.0;794.0;367.0;2764.0;1179.0;5353.0;3976.0;2106.0;1410.0;12419.0;7583.0;6915.0;27019.0;3331.0;19070.0;209.0;0.0;7931.0;51.0;2.0;0.0;1.0
5607.0;211459.672798852;392468.393577373;3;0.0;1173.0;436.0;2106.0;505.0;4512.0;4074.0;2400.0;1194.0;11592.0;6779.0;6627.0;26703.0;2786.0;19609.0;302.0;5.0;8466.0;51.0;1.0;0.0;6.0
5628.0;39527.9121863799;393420.63172043;1;0.0;404.0;409.0;545.0;629.0;2385.0;2385.0;2385.0;1052.0;7710.0;4350.0;6510.0;22738.0;3783.0;22089.0;171.0;1.0;9944.0;51.0;1.0;0.0;6.0
5629.0;40500.0;393500.0;1;1.0;1005.0;820.0;1536.0;107.0;2343.0;2343.0;2343.0;1631.0;6761.0;4143.0;6821.0;21748.0;4575.0;22777.0;292.0;4.0;9000.0;51.0;1.0;0.0;6.0
5665.0;79500.0;393500.0;18;0.0;237.0;0.0;1970.0;9.0;3171.0;1332.0;9.0;1997.0;3412.0;9497.0;4736.0;12912.0;6831.0;29706.0;525.0;5.0;3147.0;60.0;1.0;0.0;3.0
5666.0;80500.0;393500.0;1;0.0;623.0;297.0;1065.0;402.0;2232.0;2047.0;252.0;1081.0;4189.0;10400.0;3807.0;11944.0;6238.0;30166.0;216.0;5.0;3452.0;51.0;1.0;0.0;6.0
